05.10.2016 0:32:26 uniform [1/3, 1/3, 1/3] 0 0 100
05.10.2016 0:32:26 all_to_0 [1, 0, 0] 0 0 100
05.10.2016 0:32:35 uniform [1/3, 1/3, 1/3] 0 0 100
05.10.2016 0:32:35 all_to_0 [1, 0, 0] 0 0 100
05.10.2016 0:34:55 uniform [1/3, 1/3, 1/3] 0 0 100
05.10.2016 0:35:39 uniform [1/3, 1/3, 1/3] 0 0 100
05.10.2016 0:41:42 uniform [1/3, 1/3, 1/3] 0 0 100
05.10.2016 0:41:42 all_to_0 [1, 0, 0] 0 0 100
05.10.2016 0:44:17 uniform [1/3, 1/3, 1/3] 0 0 100
05.10.2016 0:44:19 all_to_0 [1, 0, 0] 0 0 100
05.10.2016 0:44:33 uniform [1/3, 1/3, 1/3] 0 0 100
05.10.2016 0:44:38 all_to_0 [1, 0, 0] 0 0 100
05.10.2016 0:51:04 uniform [1/3, 1/3, 1/3] -1828.54666666656 1247.89138047068 100
05.10.2016 0:51:32 all_to_0 [1, 0, 0] -1983.93800000004 1946.2518747492 100
05.10.2016 12:39:07 uniform [1/3, 1/3, 1/3] -1825.73733333322 925.300567451706 100
05.10.2016 12:39:35 all_to_0 [1, 0, 0] -1982.48500000004 1939.01542929424 100
05.10.2016 16:56:01 uniform [1/3, 1/3, 1/3] -1829.77333333322 1204.93748596986 100
05.10.2016 16:56:29 all_to_0 [1, 0, 0] -1993.55300000005 2529.93564747629 100
05.10.2016 16:58:50 uniform [1/3, 1/3, 1/3] -1832.32799999988 30.8606813724084 100
05.10.2016 16:59:19 all_to_0 [1, 0, 0] -1983.99500000005 50.2452879845299 100
